Q1-面积,Q2-绿化率,Q3-周围学校数量(1km),Q4-距地铁站距离(km),Q5-距商圈距离(km),Q6-中介对房子安全性打分,Q7-中介对房子舒适性打分,Q8-中介对房子性价比打分,Q9-中介对房子地段打分,Q10-中介对房子未来增值打分,Q11-中介对房子环境打分,Q12-单价
84,0.4,4,0.97,6,4.67,2,3.5,4,3,5,12476
78,0.4,4,0.97,6,4,3,4,4,3,4,12063
101,0.4,4,0.97,6,1.67,4,2,2.5,3.67,3.5,11847
100,0.4,4,0.97,6,5,5,5,5,5,5,11998
100,0.4,4,0.97,6,3.67,2,3,3,3,3,11498
99,0.4,4,0.97,6,3,2.5,2,2.5,3.33,4,10513
120,0.4,4,0.97,6,3.67,3.5,4,3.5,3,4.5,11159
131,0.4,4,0.97,6,3,2.5,3,3.5,4,5,12579
120,0.4,4,0.97,6,5,4.5,5,4.5,5,5,10994
120,0.4,4,0.97,6,3.67,3,3,3.5,4.33,5,11242
131,0.4,4,0.97,6,4.33,2.5,3.5,3.5,4,3,12045
100,0.4,4,0.97,6,3.67,2.5,2.5,2.5,3.33,5,11998
100,0.4,4,0.97,6,4.67,4.5,3.5,4.5,3.67,3.5,11996
131,0.4,4,0.97,6,4.33,3,3,4,4.33,5,12350
90,0.4,4,0.97,6,3.33,2.5,1.5,2.5,3,5,12748
84,0.4,4,0.97,6,4,3,4,5,4,4,12476
131,0.4,4,0.97,6,2.67,2,2.5,4.5,3.67,4,12579
90,0.4,4,0.97,6,4.67,3,4,4.5,2.67,4.5,12726
120,0.4,4,0.97,6,2.67,2.5,3.5,3.5,3.33,3,11242
100,0.4,4,0.97,6,3,1.5,4.5,2,3,5,11998
107,0.4,4,0.97,6,4,2,4,3,4.33,3,11207
84,0.4,4,0.97,6,4.67,4,5,4.5,4,5,12476
120,0.4,4,0.97,6,2,3.5,3,3,2,5,11242
100,0.4,4,0.97,6,2.33,1.5,1,4,4,5,11998
84,0.4,4,0.97,6,4.67,3,4,5,4.33,5,12476
120,0.4,4,0.97,6,4,4.5,4,4,4,5,11242
120,0.4,4,0.97,6,4,3,3,3,2.67,4,11242
107,0.4,4,0.97,6,3.67,3,4,4,3.33,3.5,11207
84,0.4,4,0.97,6,2.67,3,3,3,3,3,12476
120,0.4,4,0.97,6,3,2,3.5,3.5,4,5,11242
84,0.4,4,0.97,6,4,4,3,4,4,4,12476
100,0.4,4,0.97,6,3,3,4,4,4.33,4.5,11998
120,0.4,4,0.97,6,4.67,2.5,3.5,3,3.33,5,11242
84,0.4,4,0.97,6,3,2,2.5,4,3.67,5,12476
84,0.4,4,0.97,6,2.67,2.5,3,3,3,3.5,12476
120,0.4,4,0.97,6,5,3.5,5,5,5,5,11242
84,0.4,4,0.97,6,2.67,3,3.5,3,3,5,12476
120,0.4,4,0.97,6,3,4,4,3.5,3.33,3.5,11242
88,0.4,5,0.96,7.9,4,3.5,3.5,3,3,4.5,12939
62,0.4,5,0.96,7.9,5,4.5,5,5,5,5,11774
78,0.4,5,0.96,7.9,3.33,2,1.5,1.5,3,5,12775
78,0.4,5,0.96,7.9,2.33,2,4,3,3,5,10858
76,0.4,5,0.96,7.9,3.67,3.5,4.5,4,5,5,11842
78,0.4,5,0.96,7.9,3.33,1,4,4,4.33,3.5,11497
76,0.4,5,0.96,7.9,2.33,3,3.5,3.5,3.33,1.5,11842
76,0.4,5,0.96,7.9,3,2.5,4,3,4,2.5,11842
78,0.4,5,0.96,7.9,3,1.5,2.5,3.5,3.67,3.5,12008
88,0.4,5,0.96,7.9,3.67,1.5,2,2,4.67,3.5,12601
88,0.4,5,0.96,7.9,4.67,3,3.5,4.5,3.33,4.5,9901
63,0.4,5,0.96,7.9,3,2,2.5,2.5,3.67,4,10635
91,0.4,5,0.96,7.9,4,1.5,3.5,5,4.67,5,11983
78,0.4,5,0.96,7.9,3.33,2,2.5,3,3.67,4,11753
128,0.4,5,0.96,7.9,4,4,3.5,4,2,4.5,9531
78,0.4,5,0.96,7.9,2.67,2,3.5,3,3.33,2.5,10986
76,0.4,5,0.96,7.9,4.33,3,2.5,4.5,3.33,3,11842
81,0.4,5,0.96,7.9,4.33,5,5,2.5,3.33,5,12222
78,0.4,5,0.96,7.9,4,3.5,2.5,3,2,3,12136
78,0.4,5,0.96,7.9,3,1.5,2,3,4,3,11880
81,0.4,5,0.96,7.9,4,2,4,4,5,5,11358
80,0.4,5,0.96,7.9,3.33,1,5,5,4,4.5,11875
78,0.4,5,0.96,7.9,3,3,2.5,3,2.67,3,11344
78,0.4,5,0.96,7.9,4.33,3,4.5,3,4,5,10731
88,0.4,5,0.96,7.9,4.33,2,2,2.5,2.33,5,12273
78,0.4,5,0.96,7.9,4,2.5,4,3.5,4,4,14052
128,0.4,5,0.96,7.9,4.33,2,4,2.5,3.33,4.5,9531
81,0.4,5,0.96,7.9,3.67,3,3.5,3.5,5,5,12222
81,0.4,5,0.96,7.9,2.33,2,3,3,3,3,12346
118,0.4,5,0.96,7.9,4.33,1.5,2.5,4,3.33,5,10508
71,0.4,5,0.96,7.9,5,1.5,3,3,3,5,10423
92,0.4,5,0.96,7.9,4,2.5,3.5,4,3.67,5,10326
76,0.4,5,0.96,7.9,2.67,2.5,3,3,4,5,11835
78,0.4,5,0.96,7.9,5,3,5,5,5,5,11505
81,0.4,5,0.96,7.9,5,3,3.5,4,3.67,5,12346
78,0.4,5,0.96,7.9,3,4,3,2,3.67,3,11753
78,0.4,5,0.96,7.9,4.67,3,3.5,3.5,4,5,9581
78,0.4,5,0.96,7.9,3,1.5,3,2.5,3,3,10858
78,0.4,5,0.96,7.9,3,1.5,3,3,3.67,4,11497
